,PRODUCTS,RATINGS,PRICE
0,"Apple iPhone 7 (Black, 32 GB)",4.5,24999
1,"Apple iPhone XS (Gold, 64 GB)",4.7,52999
2,"Apple iPhone XS (Space Grey, 64 GB)",4.7,52999
3,"Apple iPhone XS (Silver, 64 GB)",4.7,52999
4,"Apple iPhone 7 Plus (Black, 32 GB)",4.5,32999
5,"Apple iPhone 7 Plus (Rose Gold, 32 GB)",4.5,32999
6,"Apple iPhone 7 Plus (Gold, 32 GB)",4.5,32999
7,"Apple iPhone 8 (Silver, 64 GB)",4.5,36999
8,"Apple iPhone 8 (Space Grey, 64 GB)",4.5,36999
9,"Apple iPhone 11 (White, 64 GB)",4.7,649
10,"Apple iPhone 11 (Black, 128 GB)",4.7,699
11,"Apple iPhone 11 (Black, 64 GB)",4.7,649
12,"iKare Impossible Screen Guard for Apple iPhone 6, Apple iPhone 6s",3.8,199
13,RhinoShield Screen Guard for Apple iPhone 11 Pro,0.0,1299
14,"Apple iPhone 11 (White, 128 GB)",4.7,699
15,"Apple iPhone 11 (Purple, 128 GB)",4.7,699
16,"Apple iPhone 11 (Green, 128 GB)",4.7,699
17,"Apple iPhone 11 (Purple, 64 GB)",4.7,649
18,"Apple iPhone 11 (Green, 64 GB)",4.7,649
19,Dainty Tempered Glass Guard for Apple iPhone 7,3.3,182
20,"Apple iPhone XR (Blue, 64 GB)",4.6,53999
21,"Apple iPhone XR (White, 64 GB)",4.6,499
22,"Apple iPhone 11 (Red, 64 GB)",4.7,649
23,RhinoShield Tempered Glass Guard for Apple iPhone 11,3.7,1299
24,"Apple iPhone XR (Black, 128 GB)",4.6,549
25,"Apple iPhone XR (Coral, 64 GB)",4.6,499
26,"Apple iPhone XR (Blue, 128 GB)",4.6,549
27,"Apple iPhone XR (White, 128 GB)",4.6,549
28,RiverForest Edge To Edge Tempered Glass for Apple iPhone XR,0.0,239
29,Dainty Tempered Glass Guard for Apple iPhone 7,3.9,182
30,"Apple iPhone 11 (Red, 128 GB)",4.7,699
31,"Apple iPhone XR (Coral, 128 GB)",4.6,549
32,"Apple iPhone 11 Pro Max (Gold, 64 GB)",4.7,199
33,VAlight Edge To Edge Tempered Glass for Apple iPhone 6,0.0,159
34,"Apple iPhone XR ((PRODUCT)RED, 64 GB)",4.6,499
35,"Apple iPhone 6s (Space Grey, 32 GB)",4.5,23999
36,"Apple iPhone XR (Black, 64 GB)",4.6,499
37,"Apple iPhone 11 Pro (Space Grey, 512 GB)",4.7,1319
38,"Apple iPhone 7 (Gold, 32 GB)",4.5,36999
39,RhinoShield Screen Guard for Apple iPhone 11 Pro Max,0.0,1299
